s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50
s25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.842	2.587e-159	0.2588	0.01538	1.044	0.4622	0.0004304	3.27e-08	1.602e-11	7.149e-06	1.556e-15	0.0003605	1.98e-05	2.117e-07	0.4085	7.194e-05	3.069e-07	3.572e-09	1.738e-05	0.001941	1.476e-12	2.357e-12	1.238e-09	0.004189	9.938e-09	0.0229
s26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	307.3	1.354e-148	8.992e-117	6.703e-145	5.002e-145	1.299e-114	1.045e-104	3.836e-84	1.316e-104	9.534e-83	4.735e-114	4.903e-107	1.541e-100	4.961e-132	6.662e-107	2.594e-107	3.595e-98	5.546e-108	2.009e-116	7.075e-86	1.315e-85	1.222e-91	6.49e-112	2.353e-114	3.742e-119
s27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39.61	0.5083	107.4	38.78	8.411e-05	0.00115	4.14e-09	9.288e-05	1.267e-13	0.001367	0.02896	6.493e-07	5.4	0.0002659	5.41e-10	6.545e-07	0.04637	0.01205	3.747e-11	8.465e-11	2.049e-09	0.002797	1.95e-13	0.04298
s28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17.06	0.8611	1.744	1.431	2.818	0.04027	4.086	0.0001832	7.034	18.28	0.4826	16.81	6.557	0.001974	0.6373	16.47	13.74	0.004159	0.005683	0.04472	12.75	1.742e-06	17.14
s29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.8	39.01	0.0004272	0.002047	2.343e-08	0.0003536	1.249e-12	0.00502	0.05738	3.901e-06	10.44	0.001157	6.886e-09	2.745e-06	0.08305	0.03452	3.028e-10	6.265e-10	2.005e-08	0.01298	5.677e-12	0.1325
s30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.34	0.00776	0.003386	1.462e-07	0.003485	2.988e-11	0.05377	0.08003	7.929e-05	19.74	0.008723	3.542e-07	2.532e-05	0.1039	0.2452	6.903e-09	1.493e-08	2.851e-07	0.04121	3.528e-10	0.5839
s31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19.48	0.005262	0.03907	10.26	0.006662	22.18	0.1055	11.11	0.6061	14.78	6.491	0.6871	0.05471	14.21	0.126	0.1517	1.305	7.308	0.2287	11.61
s32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.95	0.615	0.6448	0.003472	0.1327	40.79	0.05451	0.04636	0.345	1.808e-06	2.447	47.76	0.2741	0.0169	0.02373	0.01508	0.1355	4.99e-11	0.1154
s33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12.19	2.317	14.18	0.146	0.4631	2.808	9.102e-05	1.082	0.004324	20.17	0.2722	0.07899	17.38	17.02	9.437	0.1594	8.814e-07	0.01979
s34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16.57	0.272	19.83	2.638	21.64	0.3049	27.93	0.4292	14.4	1.65	14.7	2.019	2.413	6.058	9.642	0.0007571	7.326
