s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50
s25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.675	5.411e-159	0.4053	0.0135	1.541	0.5152	0.000337	3.776e-08	1.147e-11	5.927e-06	1.116e-15	0.0003015	2.071e-05	1.736e-07	0.3462	5.983e-05	3.029e-07	2.715e-09	1.98e-05	0.001591	1.124e-12	1.801e-12	9.732e-10	0.003355	5.606e-08	0.01843
s26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1759	1.359e-147	3.428e-116	5.814e-144	2.356e-144	4.955e-114	6.094e-104	1.667e-83	5.714e-104	8.852e-82	1.814e-113	2.442e-106	8.32e-100	1.618e-131	2.687e-106	2.275e-106	1.511e-97	3.144e-107	7.144e-116	5.514e-85	1.004e-84	7.725e-91	2.084e-111	8.673e-113	1.225e-118
s27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53.73	0.6632	174.3	54.03	0.0001648	0.001733	6.187e-09	0.0001701	2.494e-13	0.002584	0.03866	1.349e-06	7.379	0.0004929	1.644e-09	1.003e-06	0.06555	0.02063	7.599e-11	1.714e-10	4.205e-09	0.004716	6.758e-12	0.07212
s28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16.24	1.062	1.723	1.166	3.124	0.03469	3.815	0.0001536	6.527	17.82	0.4301	14.15	6.08	0.001906	0.5623	17.35	12.48	0.00362	0.004997	0.0381	11.28	1.271e-05	15.28
s29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42.67	50.23	0.0007305	0.002816	3.274e-08	0.000593	2.145e-12	0.00863	0.07152	7.116e-06	13.53	0.00196	1.737e-08	3.942e-06	0.1088	0.05485	5.374e-10	1.112e-09	3.588e-08	0.02034	1.52e-10	0.2066
s30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.67	0.008493	0.003823	1.565e-07	0.004243	3.274e-11	0.06584	0.08252	9.394e-05	20.07	0.01061	4.895e-07	2.816e-05	0.1132	0.292	7.886e-09	1.719e-08	3.229e-07	0.04791	4.156e-09	0.6826
s31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16.3	0.007339	0.02609	7.856	0.004897	17.27	0.1112	8.728	0.4885	11.38	8.531	0.4823	0.06595	10.87	0.09571	0.1151	1.009	5.478	0.8955	8.836
s32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.56	0.8876	0.993	0.005534	0.2009	45.18	0.08596	0.05171	0.5234	3.327e-06	3.527	54.87	0.3898	0.02736	0.03871	0.02327	0.1873	8.973e-10	0.1575
s33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10.03	1.709	10.25	0.1068	0.5382	2.058	7.405e-05	0.7915	0.003544	14.54	0.3506	0.05762	12.81	12.62	6.762	0.1134	4.857e-06	0.01422
s34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.91	0.2077	15.73	3.256	17.38	0.2746	22.02	0.4506	11.04	2.276	11.61	1.587	1.902	4.77	7.459	0.004551	5.735
